country,Advanced,Primary,Secondary
Afghanistan,0,5,0
Albania,0,0,6
Algeria,0,0,116
American Samoa,0,0,1
Angola,0,0,8
Antigua and Barbuda,0,0,1
Argentina,0,0,143
Armenia,0,0,5
Aruba,0,0,3
Australia,554,0,680
Austria,627,0,7
Azerbaijan,0,0,8
Bahamas,2,0,1
Bahrain,2,0,0
Bangladesh,0,0,16
Barbados,1,0,0
Belarus,0,0,348
Belgium,198,1,211
Belize,0,0,2
Bhutan,0,0,2
Bolivia,0,0,26
Bosnia and Herzegovina,1,0,12
Botswana,0,0,5
Brazil,136,35,2649
British Virgin Islands,1,0,0
Brunei,2,0,0
Bulgaria,86,6,18
Burkina Faso,0,1,0
Burundi,0,2,0
Cabo Verde,0,0,4
Cambodia,0,0,7
Cameroon,0,0,6
Canada,535,0,1529
Chad,0,2,0
Chile,38,0,8
China,0,2,2484
Colombia,0,0,63
Costa Rica,0,0,21
Croatia,7,43,33
Cuba,0,0,26
Curaçao,1,0,0
Cyprus,14,0,3
Czech Republic,87,2,574
Côte d'Ivoire,0,0,10
Democratic Republic of the Congo,0,3,0
Denmark,359,1,23
Dominican Republic,0,0,12
Ecuador,0,0,26
Egypt,0,0,132
El Salvador,0,0,6
Equatorial Guinea,0,0,1
Estonia,55,0,13
Ethiopia,0,4,0
Fiji,0,0,2
Finland,162,0,1
Finland (Aland),1,0,0
France,2971,0,651
France (Guadeloupe),10,0,9
France (Martinique),10,0,35
France (Mayotte),3,0,0
French Guiana,21,0,16
French Polynesia,1,0,0
Gabon,0,0,1
Gambia,0,1,0
Georgia,0,0,5
Germany,3747,0,510
Ghana,0,0,10
Greece,153,0,5
Guatemala,0,0,8
Guinea,0,2,0
Haiti,0,10,0
Honduras,0,0,6
Hong Kong,29,0,1
Hungary,644,9,96
Iceland,3,5,3
India,2,206,608
Indonesia,0,2,36
Iran,0,0,134
Iraq,0,0,73
Ireland,98,3,65
Israel,37,0,0
Italy,2212,149,1729
Jamaica,0,0,13
Japan,371,0,7
Jordan,0,0,30
Kazakhstan,0,0,40
Kenya,0,0,24
Kosovo,0,0,6
Kuwait,7,0,0
Kyrgyzstan,0,0,13
Laos,0,0,2
Latvia,41,0,48
Lebanon,0,0,3
Lesotho,0,0,15
Liberia,0,1,0
Libya,0,0,10
Lithuania,59,0,15
Luxembourg,19,0,16
Macao,4,0,1
Macedonia,0,0,3
Madagascar,0,2,0
Malaysia,0,0,484
Maldives,0,0,4
Mali,0,3,0
Malta,0,0,4
Marshall Islands,0,0,1
Mauritius,0,0,2
Mexico,0,22,2518
Micronesia,0,0,1
Moldova,0,0,47
Monaco,0,0,1
Mongolia,0,0,2
Montenegro,0,0,3
Morocco,1,0,26
Mozambique,0,3,0
Myanmar,0,0,2
Namibia,0,0,18
Nepal,0,8,0
Netherlands,413,0,4
Netherlands (Sint Maarten),1,0,0
New Caledonia,4,0,8
New Zealand,103,49,165
New Zealand (Cook Islands),1,0,1
Nicaragua,0,0,7
Niger,0,3,0
Nigeria,0,0,3
North Korea,0,8,0
Northern Mariana Islands,2,0,0
Norway,180,39,111
Oman,12,0,6
Pakistan,0,1,24
Palau,1,0,0
Palestina,0,0,21
Panama,8,0,0
Papua New Guinea,0,0,2
Paraguay,0,0,9
Peru,0,0,184
Philippines,0,0,51
Poland,542,43,1083
Portugal,187,3,310
Qatar,7,0,0
Romania,43,62,448
Russia,0,0,1270
Rwanda,0,3,0
Saint Kitts and Nevis,2,0,0
Saint Lucia,0,0,3
Saint-Martin,1,0,1
Saudi Arabia,53,0,5
Senegal,0,0,9
Serbia,0,0,13
Seychelles,1,0,0
Sierra Leone,0,1,0
Singapore,3,0,1
Slovakia,140,4,178
Slovenia,34,1,54
South Africa,0,0,964
South Korea,87,0,0
South Sudan,0,1,0
Spain,976,31,1111
Sri Lanka,0,0,13
Sudan,0,0,2
Swaziland,0,0,3
Sweden,437,0,0
Switzerland,482,0,276
Syria,0,13,0
Taiwan,81,0,2
Tajikistan,0,5,0
Tanzania,0,10,0
Thailand,0,0,44
Togo,0,3,0
Tonga,0,0,2
Trinidad and Tobago,5,0,0
Tunisia,0,0,30
Turkey,1,0,319
Turkmenistan,0,0,3
Uganda,0,17,0
Ukraine,0,0,312
United Arab Emirates,33,0,1
United Kingdom,123,2,1762
United Kingdom (Montserrat),1,0,0
United States,5559,47,9213
Uruguay,20,0,2
Uzbekistan,0,0,35
Venezuela,0,0,23
Vietnam,0,0,11
Yemen,0,2,0
Zambia,0,0,13
Zimbabwe,0,0,42
